Date,EUR,GBP,JPY
22dec2002,.974,.6244,120.42
23dec2002,.9733000000000001,.6242,120.3
24dec2002,.9745,.6274,120.44
25dec2002,.9712,.6272,120.36
26dec2002,.9691,.6267,120.35
27dec2002,.964,.6252,119.99
28dec2002,.9582000000000001,.6236,119.91
29dec2002,.9579,.6239,119.89
30dec2002,.9593,.6238,119.9
31dec2002,.9541,.6235000000000001,118.54
01jan2003,.9526,.6208,118.8
02jan2003,.9533,.6211,118.75
03jan2003,.9653000000000001,.6274,120.05
04jan2003,.9602000000000001,.6215000000000001,119.75
05jan2003,.9585,.622,119.65
06jan2003,.9595,.6213,119.74
07jan2003,.9554,.6219,119.21
08jan2003,.9601,.6234,120.46
09jan2003,.9532000000000001,.6203,119.14
10jan2003,.9537,.6227,119.31
11jan2003,.9466,.6218,119.17
12jan2003,.9466,.6218,119.36
13jan2003,.9454,.622,119.23
14jan2003,.9484,.6252,118.94
15jan2003,.9479,.6231,118.1
16jan2003,.9479,.6234,118.14
17jan2003,.942,.6208,117.9
18jan2003,.9374,.6198,117.71
19jan2003,.9371,.6198,117.83
20jan2003,.9385,.6203,117.94
21jan2003,.9365,.6215000000000001,117.99
22jan2003,.9327,.6183,118.2
23jan2003,.9320000000000001,.6176,118.28
24jan2003,.9303,.6162,118.15
25jan2003,.9235,.6123,117.85
26jan2003,.9223,.6122,117.78
27jan2003,.9223,.6117,117.88
28jan2003,.9212,.611,118.41
29jan2003,.9244,.61,118.71
30jan2003,.9232,.6074000000000001,118.52
31jan2003,.9248,.6048,119.09
01feb2003,.9290000000000001,.6072,119.92
02feb2003,.9288,.607,120
03feb2003,.9270000000000001,.6069,119.68
04feb2003,.9277,.6085,120.26
05feb2003,.9189000000000001,.6065,119.72
06feb2003,.9265,.609,120
07feb2003,.923,.6105,119.88
08feb2003,.9237,.613,120.3
09feb2003,.9242,.6131,120.2
10feb2003,.9252,.6131,120.43
11feb2003,.9314,.6149,121.3
12feb2003,.9320000000000001,.6181,121
13feb2003,.9333,.6187,121.32
14feb2003,.9231,.6176,120.66
15feb2003,.9265,.6195000000000001,120.35
16feb2003,.9268,.6195000000000001,120.42
17feb2003,.9293,.621,120.48
18feb2003,.9318,.6253,120.17
19feb2003,.9355,.629,119
20feb2003,.9306,.6263,118.76
21feb2003,.9246,.6276000000000001,118.32
22feb2003,.9294,.6334,118.78
23feb2003,.9291,.6332,118.74
24feb2003,.9316,.6348,118.85
25feb2003,.9263,.63,117.9
26feb2003,.9291,.6352,117.29
27feb2003,.9273,.6321,117.11
28feb2003,.9296,.6329,117.57
01mar2003,.9261,.6354,118.14
02mar2003,.9260000000000001,.6352,118.15
03mar2003,.9275,.6357,118.22
04mar2003,.9179000000000001,.6336000000000001,117.61
05mar2003,.9187,.6325,117.88
06mar2003,.9125,.6249,117.31
07mar2003,.9114,.6236,117.43
08mar2003,.9088000000000001,.6241,117.09
09mar2003,.9093,.6241,117.09
10mar2003,.9087,.6239,117.12
11mar2003,.9045,.6244,116.84
12mar2003,.9061,.6224,117.16
13mar2003,.9088000000000001,.6201,117.31
14mar2003,.9254,.6245000000000001,118.57
15mar2003,.9312,.6319,118.34
16mar2003,.9305,.6314,118.34
17mar2003,.9291,.6308,118.25
18mar2003,.9402,.6367,118.47
19mar2003,.9406,.6385,118.86
20mar2003,.9471000000000001,.6393,120.48
21mar2003,.9419,.6386,120.22
22mar2003,.9502,.64,121.52
23mar2003,.95,.6392,121.6
24mar2003,.9447,.6388,121.18
25mar2003,.9407,.6358,120.78
26mar2003,.9387,.636,120.16
27mar2003,.9359,.6351,120.07
28mar2003,.9350000000000001,.639,119.96
29mar2003,.9277,.6352,119.76
30mar2003,.9281,.6357,119.92
31mar2003,.9264,.6354,119.85
01apr2003,.9153,.6317,117.98
02apr2003,.9168,.634,118.09
03apr2003,.9290000000000001,.6382,118.94
04apr2003,.9300000000000001,.6363,119.48
05apr2003,.9319,.6409,120.03
06apr2003,.9314,.6404,119.96
07apr2003,.9317,.6407000000000001,120.38
08apr2003,.9352,.6434,119.8
09apr2003,.9341,.6436,119.92
10apr2003,.9285,.6399,120.09
11apr2003,.9271,.636,119.71
12apr2003,.9300000000000001,.6364,120.54
13apr2003,.9303,.6368,120.4
14apr2003,.9309,.6361,120.56
15apr2003,.9307,.6356000000000001,120.66
16apr2003,.9263,.6369,120.3
17apr2003,.9164,.633,119.59
18apr2003,.9196,.6368,119.65
19apr2003,.9193,.6368,119.78
20apr2003,.9199000000000001,.6369,119.86
21apr2003,.9187,.6369,119.74
22apr2003,.92,.6402,120.54
23apr2003,.9119,.634,120.02
24apr2003,.9113,.6299,120.32
25apr2003,.9066,.6276000000000001,120.03
26apr2003,.9063,.6285,120.22
27apr2003,.9062,.6285,120.14
28apr2003,.9063,.6279,120.18
29apr2003,.9105,.6298,120.48
30apr2003,.9024,.6274,119.78
01may2003,.8952,.6258,119.04
02may2003,.8901,.6206,118.61
03may2003,.8907000000000001,.6235000000000001,119.11
04may2003,.8908,.6236,119.04
05may2003,.8903,.6236,119.05
06may2003,.8859,.6225000000000001,118.67
07may2003,.8752,.6195000000000001,117.56
08may2003,.8807,.6263,116.48
09may2003,.8699,.6243,117.08
10may2003,.8707,.6233,117.44
11may2003,.8698,.6241,117.26
12may2003,.8674,.622,117.26
13may2003,.8653,.6211,117.04
14may2003,.8675000000000001,.6215000000000001,116.83
15may2003,.8704,.6183,116.35
16may2003,.8787,.6166,116.51
17may2003,.8637,.6169,116.09
18may2003,.8627,.6169,116.09
19may2003,.8633,.6169,116.02
20may2003,.8585,.6124000000000001,117.18
21may2003,.8543,.6093,116.77
22may2003,.8595,.6113,117.52
23may2003,.8548,.6119,117.21
24may2003,.8452,.611,116.91
25may2003,.8446,.6115,116.95
26may2003,.8455,.6127,116.9
27may2003,.8424,.6108,116.86
28may2003,.8467,.6105,117.33
29may2003,.85,.6098,118.66
30may2003,.84,.6046,117.97
31may2003,.849,.6115,119.35
01jun2003,.8495,.6114000000000001,119.36
02jun2003,.8538,.6113,119.66
03jun2003,.851,.6104000000000001,118.64
04jun2003,.8524000000000001,.6142,119.2
05jun2003,.8592,.6135000000000001,118.89
06jun2003,.8452,.6024000000000001,117.77
07jun2003,.8549,.602,118.7
08jun2003,.855,.6022,118.76
09jun2003,.8548,.6033,118.78
10jun2003,.8539,.6079,118.28
11jun2003,.8568,.6055,117.79
12jun2003,.8507,.6001,117.81
13jun2003,.8496,.599,117.73
14jun2003,.8432,.5983000000000001,117.5
15jun2003,.8426,.5986,117.46
16jun2003,.8421,.5978,117.43
17jun2003,.8458,.5964,117.66
18jun2003,.8488,.5935,118.16
19jun2003,.8556,.5959,117.89
20jun2003,.853,.5955,118.37
21jun2003,.8621,.6015,118.43
22jun2003,.8613,.6015,118.48
23jun2003,.8638,.6011,118.53
24jun2003,.8656,.5998,117.82
25jun2003,.869,.6013,117.96
26jun2003,.8666,.5976,118.03
27jun2003,.8754,.602,119.44
28jun2003,.8748,.6062,119.61
29jun2003,.8754,.6064000000000001,119.64
30jun2003,.8746,.6065,119.64
01jul2003,.8693,.6044000000000001,119.83
02jul2003,.8651,.6015,119.45
03jul2003,.8666,.6002999999999999,118.13
04jul2003,.87,.5994,118.23
05jul2003,.8704,.5997,118.16
06jul2003,.8716,.5997,118.2
07jul2003,.8711,.6,118.08
08jul2003,.8836000000000001,.6064000000000001,118.27
09jul2003,.8836000000000001,.6116,118.24
10jul2003,.8814,.6106,117.96
11jul2003,.879,.612,117.69
12jul2003,.8854,.6131,117.91
13jul2003,.8875999999999999,.6132,117.84
14jul2003,.8853,.6133,117.84
15jul2003,.8872,.6196,117.87
16jul2003,.8949,.6283,118.06
17jul2003,.8918,.6262,118.14
